lat,long,census_code
28.896498,-99.116863,481639502002145
32.037982,-84.772465,132599504002001
34.557721,-117.442524,060710091171182
32.821231,-111.549772,040210020021016
47.250214,-122.422746,530530602001088
31.70821,-92.150612,220599702003026
26.151929,-97.350906,480610123011173
29.948868,-95.312927,482012415003107
28.663086,-99.199027,481639503004004
32.016469,-106.41112,350130018042014
32.557027,-116.962479,060730100151028
30.336849,-95.449655,483396939002000
31.793411,-106.369373,481410034022003
39.987259,-76.663787,421330101101008
37.323304,-78.436819,511479302011019
26.275748,-80.151987,120110104053000
40.721185,-74.125449,340130074001002
31.583812,-83.258963,131559502005026
33.787447,-116.383098,060650449221000
40.896618,-74.038454,340030231001014
33.036771,-111.370421,040210008031116
39.762115,-104.850649,080010082003015
43.021003,-78.199196,360379504005008
30.566391,-97.41949,484910210003004
30.80619,-94.975545,483732103021030
27.380057,-99.486369,484790018172004
33.782302,-117.888931,060590761022005
25.75506,-80.437893,120860151003021
28.885953,-97.910733,482559702001131
33.064974,-111.378531,040210023001248
30.788146,-92.41285,220399501003024
31.183301,-105.35269,482299503001471
33.178452,-99.720047,482079503002000
27.528423,-99.448416,484790017142033
34.015943,-86.012259,010550012001027
33.642102,-117.769133,060590626042027
36.301353,-76.219129,371399601002002
30.485653,-92.595756,220399503005034
35.380494,-119.005905,060290016001002
36.030087,-114.9796,320030052002012
32.372572,-97.388975,482511308001024
26.9998,-81.069327,120430003003072
30.28218,-82.12206,120030401012073
42.339714,-88.443208,171118704021008
40.900205,-74.036051,340030231001009
37.993542,-122.353032,060133922002024
39.140602,-121.586728,061150401005057
32.420424,-97.196841,482511304101034
42.333897,-71.069986,250250801001003
43.333208,-88.280921,551314501061050
31.323747,-92.53531,220799800001003
30.879161,-81.978064,130490101002266
27.739633,-97.760526,483550059001047
38.217824,-75.326618,240479512001094
41.392133,-75.073642,421039505011025
45.306321,-93.618729,271410305033035
42.592867,-87.914943,550590006013029
38.304983,-121.42003,060670096381045
41.404806,-74.357048,360710119001055
36.158006,-95.997731,401430025002058
42.315524,-85.176253,260250007001067
33.747549,-84.39569,131210035002034
39.037352,-84.723517,210150705042000
41.666564,-70.991261,250056531022020
33.065474,-111.378465,040210008013078
41.060721,-75.480918,420893003043005
40.148123,-111.656788,490490105032029
40.71729,-74.127757,340130074001002
33.75061,-117.86761,060590750021000
32.484739,-114.683596,040279800051007
39.38989,-84.555628,390170004003008
35.181496,-107.90851,350069747003431
37.271969,-89.164242,171539711002034
26.294515,-97.928756,482150246002083
28.885953,-97.910733,482559702001131
32.801908,-115.569947,060250115004006
30.196064,-84.377121,121290102033047
41.128585,-80.626903,390998005003000
36.249135,-115.997402,320239604012474
37.271969,-89.164242,171539711002034
32.888854,-112.033477,040219414004081
40.25332,-75.806738,420110118003063
41.756835,-74.556964,361119547001035
43.645908,-93.368695,270471808002049
39.168995,-76.783253,240276069012003
41.080227,-83.153132,391479637004006
41.254084,-95.938243,310550018001032
42.941496,-82.481391,261476360003025
41.893372,-83.396478,261158325001005
43.218476,-70.940417,330170816002009
24.576051,-81.749543,120879719001007
38.366841,-96.539009,200179606003116
26.46788,-97.768318,484899504001182
42.359837,-93.097204,190834806002013
41.118644,-87.888099,170910121002019
28.046614,-99.367001,482839503002405
41.503706,-81.193006,390553108003026
39.523813,-87.120234,180210402005006
