lat,long,census_code
33.397131,-111.787678,040134225024016
42.124846,-80.065922,420490014002007
42.438415,-123.31303,410333605004041
28.503803,-81.417343,120950145032001
32.777405,-96.811278,481130100001224
30.884394,-87.774802,010030105001039
36.923376,-89.351612,291339502001053
40.728432,-74.005437,360610037002003
35.314888,-82.456493,370899312001018
45.146926,-95.015943,270677805001049
34.239761,-83.812894,131390012013027
46.618026,-120.557401,530770003001015
35.314926,-80.841085,371190061091002
40.629134,-80.239164,420076057001001
40.192202,-75.914124,420110117031000
26.17454,-97.671642,480610113022007
45.569644,-122.656146,410510036013031
33.979416,-81.249212,450630210291010
32.774403,-117.044583,060730148053031
35.380213,-94.412793,051310008003011
34.792984,-84.984353,133130005023053
35.118718,-101.866022,483810217031003
25.779298,-80.198739,120860034003018
31.352978,-110.968339,040239662001021
25.884069,-80.32399,120860135001000
43.067527,-77.032349,361170210002037
37.182698,-93.329985,290770058001012
46.557707,-92.185075,550310302001145
26.328357,-98.146248,482150236003016
47.466367,-111.382141,300130107001036
30.763329,-98.2167,480539603003018
25.72894,-80.423682,120860160001001
27.902832,-82.700558,121030245091049
42.415858,-96.418686,310430103003156
36.096377,-80.242798,370670001001063
34.78384,-91.901281,050850205003019
37.491108,-86.25848,210859503002015
39.766176,-86.152759,180973562002007
26.255523,-97.667502,480610102011099
38.582708,-121.497752,060670007001000
39.390236,-87.469635,181670112001014
32.719419,-117.144947,060730046001004
26.07174,-97.47637,480610124022057
41.50876,-90.581441,171610226002010
45.061416,-92.84736,271630705011001
34.527854,-117.292586,060710098001017
38.797965,-77.065734,515102007021016
32.381483,-86.298272,011010001001017
37.271404,-79.947114,517700011001035
39.912078,-75.517617,420454101003013
32.637385,-117.090914,060730127001001
38.407364,-85.379567,211850303011019
33.82028,-117.908929,060590874052004
34.148556,-114.28464,040129402001047
42.03956,-88.283999,170898546002006
46.142525,-122.917403,530150021003008
34.740559,-97.221365,400496813001023
45.608888,-121.203622,410659704002003
33.399902,-94.02264,050910205002106
29.39471,-100.899887,484659508003173
25.732962,-80.383242,120860088032013
40.155929,-75.411748,420912060043004
33.756583,-84.389354,131210119002040
29.522121,-98.391956,480291213002000
40.435595,-79.99479,420030103001006
42.009881,-93.441871,191690103001031
42.88444,-77.213538,360690512002017
41.567503,-75.408393,421279609002083
32.655916,-114.612156,040270010012072
34.329932,-77.887477,371290116031021
42.871214,-97.393709,461359661004010
26.18407,-80.118515,120110404023007
38.064797,-84.547314,210670037022037
37.796455,-122.401714,060750611001010
34.100777,-117.297532,060710057012033
36.732647,-119.785212,060190006004058
32.659732,-117.109774,060730219001054
35.373308,-119.010636,060290016001113
32.82514,-96.87117,481130100002114
33.58543,-101.843295,483030007001165
45.847792,-122.819709,410099708002000
38.018321,-122.133084,060133160001028
33.752819,-117.8342,060590754033015
38.843485,-77.310997,516003004001020
61.218718,-149.857357,020200009011015
39.256226,-76.683357,240054304001017
34.470995,-117.295979,060710100262036
35.052729,-106.62981,350010012003042
29.424619,-98.49735,480291101003060
38.449523,-78.870586,516600003024000
34.221353,-119.064598,061110055023011
44.078943,-103.220827,461030102002020
33.883511,-118.122249,060375542041002
40.6969,-111.916848,490351116003000
40.529678,-112.298459,490451312002008
39.198512,-76.595995,240037511021009
36.846646,-76.284427,517100049002010
39.800698,-89.648801,171670014001015
41.914269,-83.397637,261158319002016
38.447049,-105.18323,080439784001004
42.862339,-106.34474,560250012001013
42.726811,-92.465645,190170041001029
31.803547,-106.288678,481410103221001
39.633469,-75.35897,340330207003033
32.199578,-110.991776,040190025014013
48.822493,-122.55926,530730002001010
38.351116,-98.186208,201599672002089
25.925868,-80.153735,120860001091011
39.960012,-75.165295,421010125001014
32.306066,-106.805269,350130002011005
38.812429,-77.137157,515102004062000
33.446059,-112.078918,040131141001051
37.101109,-89.563425,292017810003039
38.880675,-77.229338,510594616021007
36.802454,-76.378418,517402127011007
29.711648,-95.377664,482013132003008
44.854147,-73.133491,500110106004002
34.075462,-117.352921,060710036121021
32.574785,-116.919093,060730100151004
39.783559,-104.848808,080319801001033
33.749284,-117.876573,060590751001008
29.95204,-95.312044,482012415003107
42.372992,-83.018564,261635159003023
29.651068,-95.481224,482014205002014
32.135369,-110.926045,040190041153016
42.973911,-85.629885,260810023002004
28.442793,-99.236278,482839503005002
40.506805,-107.558376,080810003001074
42.055299,-104.95254,560319594006075
31.793411,-106.369373,481410034022003
39.671492,-75.714329,100030141002015
26.204563,-98.270145,482150205013000
41.528728,-73.363545,090052501001040
