lat,long
34.100777,-117.297532
36.732647,-119.785212
32.659732,-117.109774
35.373308,-119.010636
32.82514,-96.87117
33.58543,-101.843295
45.847792,-122.819709
38.018321,-122.133084
33.752819,-117.8342
38.843485,-77.310997
61.218718,-149.857357
39.256226,-76.683357
34.470995,-117.295979
35.052729,-106.62981
29.424619,-98.49735
38.449523,-78.870586
34.221353,-119.064598
44.078943,-103.220827
33.883511,-118.122249
40.6969,-111.916848
40.529678,-112.298459
39.198512,-76.595995
36.846646,-76.284427
39.800698,-89.648801
41.914269,-83.397637
38.447049,-105.18323
42.862339,-106.34474
42.726811,-92.465645
31.803547,-106.288678
39.633469,-75.35897
32.199578,-110.991776
48.822493,-122.55926
38.351116,-98.186208
25.925868,-80.153735
39.960012,-75.165295
32.306066,-106.805269
38.812429,-77.137157
33.446059,-112.078918
37.101109,-89.563425
38.880675,-77.229338
36.802454,-76.378418
29.711648,-95.377664
44.854147,-73.133491
34.075462,-117.352921
32.574785,-116.919093
39.783559,-104.848808
33.749284,-117.876573
29.95204,-95.312044
42.372992,-83.018564
29.651068,-95.481224
32.135369,-110.926045
42.973911,-85.629885
28.442793,-99.236278
40.506805,-107.558376
42.055299,-104.95254
31.793411,-106.369373
39.671492,-75.714329
26.204563,-98.270145
41.528728,-73.363545
